CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
05003960300,AR,Ashley,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1891,130,0.0260939,1,4982,R,3832.355712,0.769240408,1670.015375,0.33520983,1004.470469,0.766771351,556.4908607,0.781588287,78.5063056,0.041515762,2254.694362,0.452568118,951.4561095,0.190978745,562.1228159,0.429101386,317.9592425,0.44657197,36.04970557,0.019063832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05003960400,AR,Ashley,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,751,0,0,1,1801,R,1801.000003,1.000000002,855.466663,0.474995371,396.0000016,1.000000004,305.000002,1.000000007,54.63929068,0.07275538,1801.000003,1.000000002,855.466663,0.474995371,396.0000016,1.000000004,305.000002,1.000000007,54.63929068,0.07275538,910.554376,0.505582663,576.4400366,0.32006665,210.3328799,0.531143636,167.7339679,0.549947436,40.19244042,0.053518562,0,0,0,0,0,0,0,0,0,0
05003960500,AR,Ashley,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1121,0,0,1,2744,C,2402.190503,0.875433857,1438.646835,0.524288205,572.7341635,0.862551451,376.6984635,0.884268694,92.45795274,0.082478102,1751.281934,0.638222279,1008.110762,0.367387304,424.7389475,0.63966709,273.5290776,0.642087037,57.63563003,0.051414478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05003960600,AR,Ashley,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2393,61,0.01053,0,5793,C,3257.284378,0.562279368,1322.032026,0.228211984,780.0898859,0.555224118,632.5413309,0.579250303,95.18074143,0.039774652,554.2885892,0.095682477,181.6941502,0.031364431,124.3035124,0.088472251,85.94792363,0.07870689,11.2084744,0.004683859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05003960700,AR,Ashley,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,786,0,0,0,1911,R,1910.999998,0.999999999,721.0174449,0.377298506,426.0000005,1.000000001,296.999999,0.999999997,46.68260545,0.059392628,1778.512633,0.930671184,660.0311972,0.345385242,399.453334,0.937683883,285.3926319,0.960917952,45.76358603,0.058223392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05005950100,AR,Baxter,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,2184,84,0.0179487,0,4680,C,4142.325113,0.885112204,1531.723037,0.327291247,748.0725759,0.866828014,1264.651418,0.917744135,119.417498,0.054678342,2632.988794,0.562604443,933.7985911,0.199529613,474.0146895,0.549263835,820.61893009999994,0.595514463,64.49653607,0.029531381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05005950200,AR,Baxter,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2147,6,0.0012906,0,4649,C,3091.686876,0.665021914,1064.422143,0.228957226,594.5834197,0.646989575,1000.642516,0.699261018,27.17147884,0.012655556,854.874694,0.183883565,272.25536,0.058562134,164.642734,0.179154226,273.9687759,0.191452674,5.867404854,0.002732839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05005950300,AR,Baxter,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,2297,69,0.0140215,1,4921,C,4756.770443,0.966626792,2393.388366,0.486362196,942.1307883,0.977314096,1402.066473,0.957041961,174.4524841,0.075947969,3037.105903,0.617172506,1402.786751,0.285061319,550.6355192,0.571198671,997.633763,0.680978678,75.04507655,0.032670908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05005950400,AR,Baxter,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1403,338,0.1028919,1,3285,R,2616.475352,0.796491736,1122.453432,0.341690542,474.9034926,0.778530316,965.4594325,0.88818715,112.0258345,0.079847352,1704.438634,0.518854988,722.1473852,0.219831776,382.2604857,0.626656534,455.4765923,0.419021704,67.24925628,0.047932471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05005950500,AR,Baxter,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,2161,2,4.031e-4,1,4962,R,4962.000002,1,2575.700592,0.519085166,942.9999967,0.999999997,1143,1,79.70023597,0.036881183,4962.000002,1,2575.700592,0.519085166,942.9999967,0.999999997,1143,1,79.70023597,0.036881183,642.3823134,0.129460361,360.9219673,0.072737196,143.4245706,0.152093924,128.4481712,0.112378103,10.0913435,0.004669756,0,0,0,0,0,0,0,0,0,0
05005950600,AR,Baxter,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1757,0,0,0,3816,R,3760.783896,0.985530371,1142.253721,0.299332736,593.4267857,0.992352484,1167.183048,0.974276334,102.5917091,0.058390273,3551.717078,0.930743469,1085.67932,0.284507159,584.9764352,0.978221464,1039.630277,0.867804905,96.17367279,0.054737435,13.41044423,0.003514267,2.964561144,7.76877e-4,2.102084067,0.003515191,3.31386533,0.002766165,0.434387146,2.47232e-4,0,0,0,0,0,0,0,0,0,0
05005950700,AR,Baxter,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1594,0,0,1,3445,R,3316.576579,0.962721794,1236.122744,0.358816472,489.7000496,0.954580993,969.7852306,0.975639065,35.31204201,0.0221531,2981.627566,0.865494214,1148.047454,0.333250349,431.6196913,0.841363921,896.8062579,0.902219575,28.06943297,0.017609431,198.4753916,0.057612596,114.2923317,0.033176294,27.04236275,0.052714157,50.07506525,0.050377329,1.632382596,0.001024079,0,0,0,0,0,0,0,0,0,0
05005950800,AR,Baxter,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2825,0,0,0,6097,R,6096.999978,0.999999996,2391.058013,0.392169594,866.999994,0.999999993,1848.999999,0.999999999,50.64712135,0.017928185,6096.999978,0.999999996,2391.058013,0.392169594,866.999994,0.999999993,1848.999999,0.999999999,50.64712135,0.017928185,5.474806517,8.97951e-4,2.420209125,3.96951e-4,1.216623668,0.001403257,0.912467733,4.93493e-4,0,0,0,0,0,0,0,0,0,0,0,0
05005950900,AR,Baxter,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2380,96,0.0169671,0,5658,R,4947.158193,0.874365181,2466.375191,0.435909366,1057.242918,0.860246475,966.4760081,0.867572718,81.98382043,0.034446983,3882.904926,0.686268103,1920.618435,0.339451827,798.9347764,0.65006898,814.6617344,0.731294196,61.10474492,0.025674263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020101,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2106,0,0,0,5952,R,5182.800751,0.870766255,2281.202252,0.383266507,1571.755089,0.872712431,517.8253895,0.857326804,26.62591958,0.012642887,4079.991255,0.685482402,1841.86209,0.309452636,1215.019663,0.674636126,431.5522187,0.714490428,10.87600666,0.005164296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020102,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2015,27,0.0047813,0,5647,R,5317.794884,0.941702653,1593.186939,0.282129793,1522.1017,0.943646435,618.5609063,0.923225233,38.36989674,0.019042132,4489.638301,0.795048398,1332.422658,0.235952303,1298.894212,0.805266095,497.392612,0.742377033,24.01698503,0.011919099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020201,AR,Benton,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1499,5,0.0012273,1,4074,R,2977.63587,0.730887548,1752.682482,0.430211704,825.0115999,0.747293116,240.5596338,0.679546988,104.3769834,0.069631076,1878.132476,0.461004535,1137.530557,0.279217122,528.7209435,0.478913898,164.0610888,0.463449403,61.66805528,0.041139463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020203,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1151,0,0,0,2941,R,2656.902164,0.90340094,553.2990587,0.188132968,614.8182621,0.901493053,429.3338881,0.888890037,60.20837284,0.05230962,1812.00418,0.616118388,346.9653372,0.117975293,385.3064906,0.564965529,330.1888527,0.683620813,36.23239565,0.031479058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020205,AR,Benton,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1676,0,0,1,5629,U,5609.174461,0.996477964,2783.506712,0.494493998,1972.121643,0.995518245,341.2786387,0.994981454,54.31923829,0.032410047,4089.818547,0.726562186,1775.770646,0.315468226,1390.165338,0.701749287,281.1171358,0.819583486,21.45404536,0.012800743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020206,AR,Benton,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1784,6,9.695e-4,1,6189,U,5490.611274,0.887156451,2374.621461,0.383684192,2069.303145,0.910784835,192.3882088,0.748592252,33.19811178,0.018608807,2895.457135,0.467839253,1251.267885,0.2021761,1084.127977,0.477169004,117.2978693,0.456411943,19.87852796,0.011142673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020301,AR,Benton,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1402,11,0.0028691,1,3834,U,2462.761857,0.642347902,1615.106867,0.421258964,818.3561232,0.698852368,227.8062035,0.650874867,93.0376532,0.066360666,388.2239801,0.101258211,259.5309509,0.067691954,168.0000001,0.143467122,9.223978125,0.026354223,17.35620331,0.012379603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020302,AR,Benton,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1406,0,0,1,3777,U,2304.942902,0.610257586,865.9065373,0.229257754,645.6415816,0.57957054,243.262915,0.685247648,38.36201581,0.027284506,467.1272408,0.123676791,148.0619864,0.03920095,121.9188876,0.109442448,34.16842152,0.096249075,0.657588243,4.67701e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020304,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1356,93,0.0276374,0,3365,U,3033.909772,0.901607659,1260.313796,0.374536046,761.7035987,0.883646866,360.7458383,0.932159789,152.9952574,0.112828361,2059.916642,0.612159478,1009.617068,0.30003479,469.7175372,0.544915936,277.004108,0.715772889,119.2139617,0.087915901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020305,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1397,0,0,0,4003,U,3917.886724,0.978737628,1720.098527,0.429702355,1255.970817,0.976649158,322.7935818,0.987136336,127.2727205,0.09110431,596.2480747,0.148950306,137.1251807,0.034255603,179.6047938,0.139661582,50.28769156,0.153784989,1.0716732,7.67125e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020401,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2362,194,0.0302416,0,6415,U,5581.181676,0.870020526,2110.413405,0.328981045,1514.985035,0.906633773,633.8485496,0.65412647,79.71594051,0.03374934,2749.370999,0.428584723,961.6029039,0.149899128,732.8305356,0.43855807,297.8413789,0.307369844,31.91583043,0.013512206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020402,AR,Benton,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1591,141,0.0322065,0,4378,U,3054.330848,0.697654374,1101.221753,0.251535348,833.0080421,0.693018338,544.292082,0.680365103,40.6130505,0.025526744,316.4743867,0.072287434,129.025126,0.029471249,95.90553117,0.079788295,59.34516078,0.074181451,3.733623628,0.002346715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020404,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1424,0,0,0,4180,U,3056.007374,0.731102243,985.4884301,0.235762782,979.3128766,0.777849783,269.2563129,0.585339811,38.86453599,0.027292511,541.2269326,0.129480127,148.5917594,0.035548268,177.4050305,0.140909476,35.01281866,0.076114823,6.07705771,0.004267597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020405,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1159,0,0,0,3149,U,2203.7621130000002,0.699829188,427.6718672,0.135811962,570.5226176,0.592443009,218.2927367,0.902036102,27.28240913,0.023539611,792.8875614,0.25179027,229.5405572,0.072893159,174.2741566,0.180970048,151.1630591,0.62464074,11.76256523,0.010148891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020501,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1930,95,0.0187266,0,5073,U,5073.000025,1.000000005,2006.856228,0.39559555,1502.00001,1.000000007,506.0000033,1.000000007,28.27218921,0.014648803,4102.489036,0.80869092,1447.999712,0.285432626,1246.839713,0.830119649,338.9124022,0.669787356,20.55976871,0.01065273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020503,AR,Benton,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1714,93,0.0229913,1,4045,U,4044.999985,0.999999996,1603.07766,0.396310917,1052,1,445.9999959,0.999999991,179.8344797,0.104920933,2899.469039,0.716803223,1083.373399,0.267830259,798.2828846,0.758824035,368.6447617,0.826557762,143.2507349,0.083576858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020504,AR,Benton,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1212,0,0,1,3146,U,3122.977396,0.992681944,1353.220951,0.430140162,936.1151584,0.990598051,224.3508597,0.992702919,122.6675267,0.101210831,1057.758607,0.336223333,550.1352802,0.174868176,305.2519848,0.323017973,95.33325717,0.421828572,49.5164612,0.040855166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020603,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,2291,0,0,0,5519,U,5518.999978,0.999999996,1164.706219,0.211035735,1594.999992,0.999999995,185.9999998,0.999999999,185.1547959,0.080818331,5473.389029,0.991735646,1155.082043,0.209291909,1585.341203,0.993944328,180.4551394,0.970188921,184.2854216,0.080438857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020604,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1567,19,0.0046867,0,4054,U,3168.028906,0.78145755,848.6678486,0.209340861,1011.442562,0.799559337,202.4549471,0.744319659,78.84816032,0.050317907,1994.845694,0.492068499,494.7276719,0.122034453,648.974507,0.513023326,124.8783451,0.459111563,29.43002986,0.018781129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020605,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1610,22,0.0052999,0,4151,U,4004.156279,0.964624495,1415.046065,0.340892813,1218.767659,0.971904034,364.4750395,0.941795968,117.849563,0.073198486,3020.58227,0.727675806,1019.839491,0.245685254,972.5843748,0.775585626,209.1068452,0.540327765,84.75648676,0.052643781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020606,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1393,0,0,0,4019,U,3860.780062,0.960632014,447.1262603,0.111253113,1223.738505,0.969681858,361.2185848,0.968414436,10.00632928,0.007183295,2747.36005,0.683592946,262.5610137,0.065329936,867.5089092,0.68740801,256.0653159,0.686502187,10.00632928,0.007183295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020701,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1957,0,0,0,4985,R,4630.66005,0.928918766,1093.781991,0.219414642,1182.868887,0.93953049,730.3223845,0.901632573,0,0,3594.845668,0.721132531,892.1380713,0.178964508,937.5136142,0.744649416,527.4465748,0.651168611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020703,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1932,0,0,0,4581,U,4412.28904,0.963171587,421.6724247,0.092048117,917.7296248,0.969091473,1132.780351,0.953518814,0,0,3579.447227,0.781368091,326.1978951,0.071206701,788.8382618,0.832986549,838.8466563,0.706099879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020704,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1509,0,0,0,3934,U,3877.001137,0.985511219,666.6820146,0.169466704,1061.910047,0.9878233,552.4936452,0.983084778,0,0,3329.11767,0.846242417,563.8722968,0.14333307,920.4038105,0.856189591,468.2960173,0.833266935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020801,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1958,0,0,0,3982,U,3982.000002,1,732.1717307,0.183870349,256.9999993,0.999999997,2111.999997,0.999999999,0,0,3982.000002,1,732.1717307,0.183870349,256.9999993,0.999999997,2111.999997,0.999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020803,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1920,0,0,0,4143,U,4103.106889,0.99037096,797.4782781,0.192488119,677.3478419,0.991724512,1334.102326,0.990424889,11.90546507,0.006200763,3124.525516,0.754169808,628.8507573,0.151786328,529.0194413,0.774552623,1034.744062,0.768184159,10.28078775,0.005354577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020805,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2037,78,0.017079,0,4567,U,4162.881948,0.911513455,388.0612079,0.084970705,796.4604612,0.941442626,1297.024042,0.850507568,61.15246532,0.030020847,2912.197863,0.637661017,270.0500618,0.059130734,591.4210709,0.69907928,803.360226,0.526793591,25.11117592,0.012327529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020806,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1853,55,0.0122713,0,4482,R,4481.99996,0.999999991,1021.209832,0.227846906,1012.999999,0.999999999,1150.999987,0.999999989,36.03550163,0.019447114,4325.520303,0.965087082,998.6965535,0.222823863,967.3627362,0.954948407,1129.041111,0.980921904,33.66511751,0.018167899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020901,AR,Benton,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,2338,13,0.0019009,0,6839,U,5656.446565,0.827086791,931.1093021,0.136146995,1992.598075,0.841824282,150.4568525,0.759883093,51.53799208,0.022043624,3234.624649,0.472967488,418.092245,0.061133535,1088.638768,0.459923434,101.2201422,0.511212839,23.89248368,0.010219197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007020902,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2314,0,0,0,6443,R,5223.8959,0.810786264,1501.108552,0.232982858,1515.988654,0.780632674,530.2523086,0.860799202,40.13988098,0.017346535,3693.719683,0.573291896,1061.072162,0.164686041,1006.270416,0.518161903,426.3677505,0.692155439,35.628846,0.015397081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007021001,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1919,1,1.935e-4,1,5167,R,4407.660515,0.853040549,1989.399605,0.385020245,1191.91912,0.832345754,553.0363448,0.877835468,90.06516122,0.046933383,3833.675132,0.74195377,1767.483204,0.342071454,1005.456667,0.702134544,479.3482663,0.760870264,72.39286608,0.037724266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007021002,AR,Benton,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2479,46,0.0066216,0,6947,R,6133.841174,0.882948204,1708.487982,0.245931767,1768.58351,0.886063883,691.7537931,0.896054136,75.69675662,0.030535198,4620.725389,0.665139685,1117.461347,0.160855239,1310.744142,0.656685442,529.6810864,0.686115397,71.04808954,0.02865998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007021101,AR,Benton,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1598,70,0.0153812,1,4551,C,4413.445408,0.969774864,2402.201499,0.527840365,1337.664872,0.975685538,340.2825665,0.955849906,41.49592631,0.025967413,2856.25876,0.627611241,1241.12949,0.272715775,911.5126119,0.664852379,181.1079219,0.508730118,41.13872337,0.025743882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05007021102,AR,Benton,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1128,0,0,1,3283,C,1784.956129,0.543696658,715.5040082,0.217942129,561.5619231,0.539963388,178.2263258,0.608280975,7.909039644,0.00701156,687.4402059,0.20939391,249.9459719,0.076133406,189.4762192,0.182188672,90.07070264,0.307408541,4.528815657,0.004014907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
